Time elapsed was 260008754176ns or 260.008754176s
Time elapsed was 263450965697ns or 263.450965697s
Time elapsed was 265248139714ns or 265.248139714s
Time elapsed was 264059131641ns or 264.059131641s
Time elapsed was 263765433411ns or 263.765433411s
Time elapsed was 263679835939ns or 263.679835939s
Time elapsed was 268880208188ns or 268.880208188s
Time elapsed was 268231400041ns or 268.231400041s
Time elapsed was 265894959467ns or 265.894959467s
Time elapsed was 265151246984ns or 265.151246984s
